userid	timestamp
1521335	2016-05-23T22:31:32Z
1521335	2016-05-23T22:30:30Z
1808194	2016-05-23T21:53:35Z
0	2016-05-23T21:51:40Z
4358889	2016-05-22T19:04:39Z
0	2016-05-22T17:03:30Z
23376809	2016-05-17T23:11:40Z
14370884	2016-05-16T04:33:25Z
0	2016-05-16T04:30:01Z
0	2016-05-15T11:15:59Z
0	2016-05-15T11:13:50Z
24257907	2016-05-13T15:08:35Z
1808194	2016-05-12T14:53:39Z
28316963	2016-05-12T14:27:26Z
25180159	2016-05-11T11:37:43Z
0	2016-05-11T01:00:41Z
204692	2016-05-05T02:52:59Z
14604687	2016-05-01T17:51:07Z
9929111	2016-04-27T17:14:57Z
0	2016-04-27T17:14:36Z
13286072	2016-04-27T17:13:32Z
0	2016-04-27T17:13:25Z
3174456	2016-04-26T06:21:38Z
0	2016-04-26T06:20:39Z
3174456	2016-04-26T06:19:52Z
0	2016-04-26T06:19:43Z
1215485	2016-04-22T11:57:15Z
245620	2016-04-20T04:45:23Z
7611264	2016-04-20T02:11:40Z
0	2016-04-20T00:11:14Z
27501867	2016-04-15T13:16:59Z
27991762	2016-04-03T09:29:51Z
27991762	2016-04-03T09:26:23Z
27991762	2016-04-03T09:22:08Z
27991762	2016-04-03T09:18:38Z
27991762	2016-04-03T08:45:48Z
0	2016-03-31T20:23:10Z
236191	2016-03-31T14:20:20Z
252261	2016-03-28T00:25:43Z
13286072	2016-03-27T21:46:34Z
0	2016-03-27T21:46:26Z
1808194	2016-03-27T16:46:00Z
0	2016-03-27T15:12:31Z
0	2016-03-20T22:24:54Z
15561127	2016-03-16T14:45:31Z
15561127	2016-03-15T15:53:07Z
15561127	2016-03-15T15:50:00Z
15561127	2016-03-15T15:49:03Z
15561127	2016-03-15T15:46:44Z
15561127	2016-03-15T15:36:12Z
15561127	2016-03-15T15:26:36Z
1808194	2016-03-14T21:15:55Z
1808194	2016-03-12T22:10:58Z
0	2016-03-12T20:19:18Z
19089174	2016-03-09T22:21:26Z
19089174	2016-03-09T22:20:12Z
13286072	2016-03-01T06:10:36Z
27712134	2016-03-01T06:10:27Z
27712134	2016-03-01T06:06:06Z
14385212	2016-02-28T19:31:16Z
8240947	2016-02-28T18:54:21Z
245620	2016-02-14T23:57:47Z
27573094	2016-02-14T06:24:18Z
245620	2016-02-11T23:33:09Z
1441427	2016-02-11T18:04:32Z
14385212	2016-01-23T16:37:29Z
1808194	2016-01-23T03:18:10Z
1808194	2016-01-21T19:55:32Z
19853006	2016-01-21T19:03:26Z
245620	2016-01-12T16:37:51Z
0	2016-01-12T14:18:47Z
7094824	2016-01-02T18:48:47Z
428795	2015-12-31T16:50:09Z
1808194	2015-12-22T13:35:18Z
0	2015-12-22T11:45:58Z
11137213	2015-12-07T16:22:56Z
359256	2015-12-07T16:18:18Z
19853006	2015-12-07T16:16:54Z
7436027	2015-12-07T09:30:18Z
1808194	2015-12-05T04:18:02Z
0	2015-12-05T02:55:55Z
10728040	2015-11-29T22:32:59Z
0	2015-11-29T22:12:24Z
7852030	2015-11-14T12:01:01Z
0	2015-11-14T11:52:42Z
13286072	2015-11-14T11:52:08Z
0	2015-11-14T11:52:01Z
10083842	2015-11-07T20:21:04Z
512560	2015-11-05T11:45:35Z
0	2015-11-05T11:15:49Z
22604547	2015-11-02T00:09:07Z
14604687	2015-10-25T07:54:49Z
1808194	2015-10-24T04:49:52Z
0	2015-10-24T03:24:40Z
0	2015-10-17T23:09:49Z
14508071	2015-10-15T05:04:32Z
0	2015-10-14T12:06:59Z
1808194	2015-10-13T21:02:33Z
1808194	2015-10-13T21:00:37Z
1808194	2015-10-07T00:54:44Z
7218119	2015-10-05T23:55:17Z
7218119	2015-10-05T23:43:00Z
13286072	2015-10-05T21:08:57Z
0	2015-10-05T21:08:49Z
7218119	2015-10-05T18:41:54Z
1808194	2015-10-05T15:47:30Z
7218119	2015-10-05T05:35:40Z
1264145	2015-10-02T19:25:52Z
1808194	2015-09-18T20:58:04Z
0	2015-09-18T18:57:22Z
0	2015-09-18T18:54:04Z
16217448	2015-09-18T18:28:19Z
16217448	2015-09-18T17:33:39Z
0	2015-09-18T15:58:32Z
24812038	2015-09-06T03:14:49Z
22229518	2015-09-06T03:14:27Z
1808194	2015-09-05T22:01:07Z
26181848	2015-09-05T14:17:18Z
14604687	2015-08-25T12:19:25Z
1808194	2015-08-25T03:39:53Z
0	2015-08-25T03:25:26Z
1310918	2015-08-24T23:26:24Z
25907358	2015-08-11T06:09:36Z
14137584	2015-08-10T22:42:40Z
14137584	2015-08-10T22:41:51Z
346667	2015-08-07T18:31:30Z
8372629	2015-07-03T20:30:09Z
1521335	2015-06-24T16:51:27Z
1521335	2015-06-24T16:50:30Z
