userid	timestamp
22194871	2016-05-30T01:19:53Z
11704154	2016-05-28T07:11:19Z
3130558	2016-05-28T00:46:12Z
359256	2016-05-27T15:49:34Z
359256	2016-05-27T15:47:55Z
359256	2016-05-27T15:40:29Z
359256	2016-05-27T15:33:18Z
359256	2016-05-27T15:30:06Z
359256	2016-05-27T15:27:34Z
359256	2016-05-27T15:24:09Z
4385147	2016-05-27T12:08:11Z
4385147	2016-05-27T11:58:17Z
4385147	2016-05-27T11:34:12Z
27515692	2016-05-26T19:27:00Z
19853006	2016-05-25T23:02:38Z
19853006	2016-05-25T22:53:52Z
19853006	2016-05-25T22:52:37Z
19853006	2016-05-25T11:20:23Z
8260261	2016-05-24T20:53:09Z
16540403	2016-05-24T18:39:50Z
22194871	2016-05-23T01:12:28Z
22194871	2016-05-20T16:44:48Z
9971335	2016-05-20T16:42:39Z
22194871	2016-05-18T22:17:16Z
9632892	2016-05-18T19:16:13Z
9632892	2016-05-18T19:15:34Z
19853006	2016-05-18T19:03:39Z
22194871	2016-05-16T01:49:49Z
22194871	2016-05-13T04:48:36Z
27463062	2016-05-13T03:35:45Z
19853006	2016-05-11T19:35:47Z
8024439	2016-05-11T11:23:49Z
4385147	2016-05-10T15:09:18Z
4385147	2016-05-10T14:59:45Z
13022587	2016-05-09T15:05:06Z
22194871	2016-05-09T01:06:38Z
22194871	2016-05-07T01:40:58Z
8260261	2016-05-06T23:15:17Z
8260261	2016-05-06T23:12:45Z
8260261	2016-05-06T23:10:39Z
11088460	2016-05-06T21:44:10Z
22194871	2016-05-06T14:22:38Z
17508693	2016-05-06T14:21:37Z
22194871	2016-05-06T14:17:00Z
17508693	2016-05-06T14:08:59Z
19853006	2016-05-06T13:16:18Z
8260261	2016-05-03T21:24:59Z
11088460	2016-05-03T20:32:47Z
11088460	2016-05-03T20:26:03Z
6387883	2016-05-03T06:23:20Z
6387883	2016-05-03T06:22:12Z
23824585	2016-05-02T20:27:49Z
13022587	2016-05-02T18:44:50Z
22194871	2016-05-02T06:49:37Z
13191867	2016-05-02T06:47:49Z
22194871	2016-05-02T01:00:11Z
22194871	2016-05-01T22:45:31Z
13022587	2016-05-01T19:24:44Z
8260261	2016-05-01T13:05:46Z
7611264	2016-05-01T05:53:13Z
487310	2016-05-01T05:32:20Z
22194871	2016-04-30T05:57:53Z
19814177	2016-04-30T05:52:59Z
19814177	2016-04-30T05:52:06Z
8260261	2016-04-29T21:12:53Z
8260261	2016-04-29T21:10:18Z
22535971	2016-04-29T17:35:37Z
22535971	2016-04-29T17:34:22Z
22194871	2016-04-29T09:22:01Z
26601110	2016-04-29T09:20:08Z
8260261	2016-04-28T12:56:19Z
19853006	2016-04-28T10:24:32Z
147410	2016-04-28T04:12:05Z
147410	2016-04-28T04:07:22Z
9677639	2016-04-28T04:01:35Z
8729451	2016-04-28T01:21:58Z
8260261	2016-04-27T12:37:00Z
19853006	2016-04-27T07:16:03Z
22479415	2016-04-27T07:07:30Z
25966101	2016-04-26T22:41:39Z
25966101	2016-04-26T22:26:48Z
25966101	2016-04-26T22:25:59Z
13022587	2016-04-26T20:44:01Z
13022587	2016-04-26T20:38:16Z
13022587	2016-04-26T20:36:24Z
19853006	2016-04-26T19:31:06Z
19853006	2016-04-26T14:58:42Z
19853006	2016-04-26T10:57:49Z
8260261	2016-04-25T21:53:15Z
35592	2016-04-25T21:49:51Z
19853006	2016-04-25T19:07:17Z
19853006	2016-04-25T18:54:39Z
997349	2016-04-25T15:08:34Z
197630	2016-04-25T02:39:55Z
22194871	2016-04-25T01:05:25Z
22194871	2016-04-25T01:00:08Z
22194871	2016-04-25T00:46:45Z
1531324	2016-04-25T00:45:06Z
11049176	2016-04-24T22:21:04Z
19924274	2016-04-24T03:46:42Z
20190015	2016-04-22T16:41:44Z
22194871	2016-04-22T03:00:01Z
10907185	2016-04-22T00:31:28Z
